Name	Location	Year	Kilometers_Driven	Owner_Type	Mileage (kmpl)	Engine (cc)	Power (bhp)	Seats	Price	Fuel_Type_Diesel	Fuel_Type_Petrol	Transmission_Automatic	Transmission_Manual	Car_Age
Mercedes-Benz C-Class Progressive C 220d	Coimbatore	2019	15369	First	0.0	1950.0	194.0	5.0	35.67	1	0	1	0	6
Audi A6 2011-2015 35 TDI Premium	Coimbatore	2018	48367	First	17.68	1968.0	174.33	5.0	39.58	1	0	1	0	7
Mercedes-Benz SLC 43 AMG	Kolkata	2017	13372	First	19.0	2996.0	362.07	2.0	54.0	0	1	1	0	8
Audi RS5 Coupe	Mumbai	2013	23000	First	11.05	2894.0	444.0	4.0	37.0	0	1	1	0	12
BMW X5 xDrive 30d	Mumbai	2015	41000	First	15.3	2993.0	258.0	5.0	45.0	1	0	1	0	10
Mercedes-Benz GLC 220	Bangalore	2016	44414	First	17.9	2143.0	170.0	5.0	42.5	1	0	1	0	9
Land Rover Range Rover 2.2L Dynamic	Coimbatore	2018	36091	First	12.7	2179.0	187.7	5.0	55.76	1	0	1	0	7
Audi A8 L 3.0 TDI quattro	Delhi	2012	56000	First	11.8	2967.0	246.7	5.0	45.0	1	0	1	0	13
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	29161	First	19.27	2143.0	167.62	5.0	39.41	1	0	1	0	7
Mini Cooper Convertible S	Kochi	2017	26327	First	16.82	1998.0	189.08	4.0	35.67	0	1	1	0	8
Mercedes-Benz GLE 350d	Coimbatore	2017	29819	First	11.57	2987.0	254.79	5.0	61.29	1	0	1	0	8
BMW X3 xDrive30d M Sport	Coimbatore	2017	51982	First	16.55	2993.0	258.0	5.0	45.77	1	0	1	0	8
Audi Q7 3.0 TDI Quattro Technology	Kochi	2018	11287	First	12.07	2967.0	241.4	7.0	70.36	1	0	1	0	7
Mercedes-Benz GLE 250d	Hyderabad	2017	29000	First	17.9	2143.0	201.15	5.0	57.0	1	0	1	0	8
Land Rover Range Rover HSE Dynamic	Delhi	2017	44000	First	12.7	2179.0	187.7	5.0	44.0	1	0	1	0	8
BMW 6 Series 640d Gran Coupe	Mumbai	2011	30000	First	9.52	2993.0	313.0	4.0	49.0	1	0	1	0	14
Audi Q7 45 TDI Quattro Technology	Coimbatore	2017	97430	First	14.75	2967.0	245.0	7.0	62.67	1	0	1	0	8
Jaguar XF 2.0 Diesel Portfolio	Hyderabad	2017	21000	First	19.33	1999.0	177.0	5.0	52.0	1	0	1	0	8
Mercedes-Benz E-Class 2015-2017 E250 Edition E	Bangalore	2017	33900	First	15.0	2143.0	204.0	5.0	37.0	1	0	1	0	8
Mercedes-Benz S Class 2005 2013 S 350 CDI	Coimbatore	2017	56451	First	13.5	2987.0	282.0	5.0	62.81	1	0	1	0	8
Land Rover Range Rover 2.2L Prestige	Coimbatore	2017	34990	First	12.7	2179.0	187.7	5.0	53.83	1	0	1	0	8
Mercedes-Benz GLC 43 AMG Coupe	Coimbatore	2018	22397	First	11.5	2996.0	367.0	5.0	70.99	0	1	1	0	7
Audi Q5 30 TDI quattro Premium Plus	Bangalore	2014	38000	Second	14.16	1968.0	174.3	5.0	39.0	1	0	1	0	11
BMW 3 Series Luxury Line	Bangalore	2016	19235	First	21.76	1995.0	190.0	5.0	36.5	1	0	1	0	9
Audi Q7 4.2 TDI Quattro Technology	Coimbatore	2016	51002	First	11.33	4134.0	335.2	7.0	48.91	1	0	1	0	9
