Make_and Model,Year,Original_Price
Mercedes-Benz C-Class Progressive C 220d,2019,35.67
Audi A6 2011-2015 35 TDI Premium,2018,39.58
Mercedes-Benz SLC 43 AMG,2017,54.0
Audi RS5 Coupe,2013,37.0
BMW X5 xDrive 30d,2015,45.0
Mercedes-Benz GLC 220,2016,42.5
Land Rover Range Rover 2.2L Dynamic,2018,55.76
Audi A8 L 3.0 TDI quattro,2012,45.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.41
Mini Cooper Convertible S,2017,35.67
Mercedes-Benz GLE 350d,2017,61.29
BMW X3 xDrive30d M Sport,2017,45.77
Audi Q7 3.0 TDI Quattro Technology,2018,70.36
Mercedes-Benz GLE 250d,2017,57.0
Land Rover Range Rover HSE Dynamic,2017,44.0
BMW 6 Series 640d Gran Coupe,2011,49.0
Audi Q7 45 TDI Quattro Technology,2017,62.67
Jaguar XF 2.0 Diesel Portfolio,2017,52.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,37.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,2017,62.81
Land Rover Range Rover 2.2L Prestige,2017,53.83
Mercedes-Benz GLC 43 AMG Coupe,2018,70.99
Audi Q5 30 TDI quattro Premium Plus,2014,39.0
BMW 3 Series Luxury Line,2016,36.5
Audi Q7 4.2 TDI Quattro Technology,2016,48.91
Mercedes-Benz E-Class E 220 d,2018,51.43
Mercedes-Benz GLS 350d 4MATIC,2017,56.0
Land Rover Range Rover HSE Dynamic,2017,45.64
Audi A6 2011-2015 35 TDI Technology,2017,37.56
Mercedes-Benz New C-Class Progressive C 200,2019,38.99
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,44.0
Jaguar XF 2.2 Litre Executive,2016,44.0
Mercedes-Benz GLC 220d 4MATIC Style,2018,48.5
BMW 5 Series 2013-2017 530d M Sport,2016,44.56
BMW 5 Series 2013-2017 520d Luxury Line,2016,35.84
Mercedes-Benz New C-Class C 250 CDI Avantgarde,2017,37.93
Jaguar XJ 2.0L Portfolio,2017,75.0
Mercedes-Benz SLK-Class SLK 350,2016,55.54
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,36.0
BMW X5 xDrive 30d Design Pure Experience 5 Seater,2015,54.0
Audi Q7 3.0 TDI Quattro Premium Plus,2015,43.35
Jaguar XF 2.2 Litre Luxury,2016,35.68
BMW 3 Series 320d Luxury Line,2016,35.55
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.47
Mercedes-Benz SLK-Class SLK 350,2015,55.0
Mercedes-Benz GLE 250d,2016,56.0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,41.5
Mercedes-Benz E-Class Facelift,2018,50.29
Audi Q5 30 TDI quattro Premium,2017,43.74
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,58.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,59.72
Mercedes-Benz C-Class Progressive C 220d,2018,39.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,38.75
Land Rover Range Rover TDV8 (Diesel),2011,67.0
Porsche Boxster S tiptronic,2015,64.0
Audi Q7 4.2 TDI Quattro Technology,2014,51.0
